"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Mega2560","","","","",""
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C20","19","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C19","1","100uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"D1","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D2D?","1","1N4004","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"D3,D4,D5,D6,D7,D8,D9","7","LED","","","","LED_THT:LED_D3.0mm",""
"J1","1","MIDI_IN","","","","SysEx_Patcher:MIDI_DIN5_180deg",""
"J2","1","MIDI_OUT","","","","SysEx_Patcher:MIDI_DIN5_180deg",""
"J3","1","DC_5V","","","","Connector_BarrelJack:BarrelJack_Horizontal",""
"J4","1","BAT_PWR","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J5","1","OLED","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J10","1","MINI-XLR-5","","","","Connector_Audio:MiniXLR-5_Switchcraft_TRAPC_Horizontal",""
"R1,R2,R3","3","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R4","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R5","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R27,R28,R29,R30,R32","25","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R31","1","470k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9,RV10,RV11,RV12,RV13,RV14,RV15,RV16","16","10k","","","","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical",""
"SW2,SW3,SW4,SW5,SW6,SW7,SW8","7","SW","","","","Button_Switch_THT:SW_PUSH_6mm",""
"U1","1","6N138","","","","Package_DIP:DIP-8_W7.62mm",""
"U2","1","CD74HC4067","","","","Package_DIP:DIP-24_W15.24mm",""
